Recipe_id,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g)
2648,Rest Africa,Nigerian,African,226.9469,895.5181,2.7818,1.1415
2649,Rest Africa,Nigerian,African,19.7859,2233.18,12.1145,245.187
2650,Rest Africa,Nigerian,African,214.2833,1154.7421,20.0447,29.0112
2651,Rest Africa,Nigerian,African,63.3961,953.5881,22.4362,74.6315
2652,Rest Africa,Nigerian,African,18.882,1878.1712,44.0954,187.256
2653,Rest Africa,Nigerian,African,22.591,329.2367,2.618,27.3764
2654,Rest Africa,Nigerian,African,34.78,243.6,8.7024,9.4208
2655,Rest Africa,Nigerian,African,20.5832,228.66,9.3324,14.7176
2656,Northern Africa,Moroccan,African,248.3609,17343.0723,401.1311,1638.6127
2657,Northern Africa,Moroccan,African,362.4176,2173.7627,114.877,37.4801
2658,Northern Africa,Moroccan,African,511.5621,3402.8343,178.1407,82.5335
2659,Northern Africa,Moroccan,African,35.3808,3068.2712,547.0434,71.1227
2660,Northern Africa,Moroccan,African,31.0374,771.0929,93.4788,29.9546
2661,Northern Africa,Moroccan,African,226.1946,10002.3667,249.3429,904.8643
2662,Northern Africa,Moroccan,African,46.7739,444.8824,5.0543,28.5408
2663,Northern Africa,Moroccan,African,36.3731,1205.6547,186.2531,35.015
2664,Northern Africa,Moroccan,African,560.1433,2356.3663,52.4855,14.3646
2665,Northern Africa,Moroccan,African,455.6114,2731.7895,132.3587,52.3929
2666,Northern Africa,Moroccan,African,270.9151,1667.1161,74.62,38.1243
2667,Northern Africa,Moroccan,African,230.4543,2124.5124,246.8351,23.9566
2668,Northern Africa,Moroccan,African,25.6734,591.744,29.7517,43.125
2669,Northern Africa,Moroccan,African,272.0988,2847.8478,171.7978,125.9894
2670,Northern Africa,Moroccan,African,188.2295,1778.3118,144.42,54.4294
2671,Northern Africa,Moroccan,African,117.6028,2376.9656,211.6569,115.1166
2672,Northern Africa,Moroccan,African,249.0967,1598.1153,82.9588,37.7312
2673,Northern Africa,Moroccan,African,306.6238,1720.4536,81.9051,28.6066
2674,Northern Africa,Moroccan,African,22.0179,339.3654,3.4666,27.8953
2675,Northern Africa,Moroccan,African,347.4476,1884.5123,72.9775,34.9217
2676,Northern Africa,Moroccan,African,7.8009,41.9728,1.3776,1.5273
2677,Northern Africa,Moroccan,African,67.2041,659.6857,13.7937,43.353
2678,Northern Africa,Moroccan,African,721.1797,4393.2692,314.4983,45.8311
2679,Northern Africa,Moroccan,African,33.0312,1119.3625,7.6728,109.7587
2680,Northern Africa,Moroccan,African,131.5459,688.9797,16.6022,15.0921
2681,Northern Africa,Moroccan,African,604.2438,3379.7953,160.6477,41.8972
2682,Northern Africa,Moroccan,African,11.1161,854.1583,179.9562,5.1614
2683,Northern Africa,Moroccan,African,53.6999,712.4955,7.5088,55.623
2684,Northern Africa,Moroccan,African,426.4403,3345.82,73.2018,155.5352
2685,Northern Africa,Moroccan,African,1.1741,3.68,0.115,0.0387
2686,Northern Africa,Moroccan,African,81.8234,375.418,16.0387,4.5599
2687,Northern Africa,Moroccan,African,256.5888,3625.2749,525.9689,53.0862
2688,Northern Africa,Moroccan,African,297.4812,2815.5077,77.4163,157.5042
2689,Northern Africa,Moroccan,African,249.4921,1577.0273,74.2193,41.8171
2690,Northern Africa,Moroccan,African,54.935,689.173,22.7954,47.282
2691,Northern Africa,Moroccan,African,115.4394,723.2761,21.2735,19.2679
2692,Northern Africa,Moroccan,African,162.2283,1419.043,57.4506,62.4423
2693,Northern Africa,Moroccan,African,55.1483,1292.2072,188.3685,33.7163
2694,Northern Africa,Moroccan,African,108.9607,3474.874,175.5636,259.4929
2695,Northern Africa,Moroccan,African,154.4954,3933.0673,205.237,279.2862
2696,Northern Africa,Moroccan,African,43.897,624.597,28.7706,38.6703
2697,Northern Africa,Moroccan,African,97.5656,9400.521,196.3138,921.3935
2698,Northern Africa,Moroccan,African,5.1488,329.0847,53.5208,10.9519
2699,Northern Africa,Moroccan,African,204.7708,2497.4469,128.2904,131.5967
2700,Northern Africa,Moroccan,African,182.657,4350.1718,159.2176,337.2171
2701,Northern Africa,Moroccan,African,321.8718,1783.7265,55.8512,27.466
2702,Northern Africa,Moroccan,African,58.7352,5457.148,337.0201,424.4539
2703,Northern Africa,Moroccan,African,239.6624,1705.2031,75.952,56.2835
2704,Northern Africa,Moroccan,African,220.8215,2998.3516,176.8981,158.1575
2705,Northern Africa,Moroccan,African,6.981,153.572,2.044,13.8657
2706,Rest Africa,Nigerian,African,65.1892,3068.8227,368.2785,149.7634
2707,Rest Africa,Nigerian,African,116.5759,3402.6557,208.7362,243.7995
2708,Rest Africa,Nigerian,African,46.4199,1120.5162,77.0226,75.1942
2709,Rest Africa,Nigerian,African,288.3429,2079.1511,123.392,51.8845
2710,Rest Africa,Nigerian,African,513.1459,7167.2201,245.2262,478.6798
2711,Rest Africa,Nigerian,African,648.4691,3788.2537,173.9532,72.1134
2712,Rest Africa,Nigerian,African,327.6594,2066.7572,60.7916,59.6515
2713,Rest Africa,Nigerian,African,149.8787,3719.884,174.1352,295.9331
2714,Rest Africa,Nigerian,African,309.9767,1995.6257,59.9095,60.8318
2715,Rest Africa,Nigerian,African,286.8628,4958.3397,278.6731,326.962
2716,Rest Africa,Nigerian,African,99.109,1609.4854,53.9856,123.4815
2717,Rest Africa,Nigerian,African,64.8065,763.19,9.3223,52.8205
2718,Rest Africa,Nigerian,African,75.9441,4182.8458,281.3741,312.4779
2719,Rest Africa,Nigerian,African,191.4534,3212.8193,261.3219,163.044
2720,Rest Africa,Nigerian,African,48.9424,693.524,9.4602,55.487
2721,Rest Africa,Nigerian,African,40.5614,1084.952,207.8279,5.8968
2722,Rest Africa,Nigerian,African,176.6764,1254.2627,38.6537,51.9924
2723,Rest Africa,Nigerian,African,211.9652,1877.4208,54.1209,105.8234
2724,Rest Africa,Nigerian,African,53.1319,2165.8082,280.7266,92.3702
2725,Rest Africa,Nigerian,African,995.7786,5384.8115,183.3372,92.0206
2726,Rest Africa,Nigerian,African,70.7574,1852.0346,326.3191,23.9094
2727,Rest Africa,Nigerian,African,81.3572,1205.8658,48.4854,78.8267
2728,Rest Africa,Nigerian,African,249.95,967.5,0,0
2729,Rest Africa,Nigerian,African,120.5977,1285.58,45.622,79.6538
2730,Rest Africa,Nigerian,African,200.1502,1687.186,53.515,80.4329
2731,Rest Africa,Nigerian,African,229.5085,1134.122,16.8503,20.0038
2732,Rest Africa,Nigerian,African,42.9444,23918.4,520.7688,2404.3428
2733,Rest Africa,Nigerian,African,192.4377,1822.531,68.6181,90.1042
2734,Rest Africa,Nigerian,African,762.3361,3648.1797,79.2717,31.3053
2735,Rest Africa,Nigerian,African,78.0873,551.7371,15.4858,23.5997
2736,Rest Africa,Nigerian,African,126.0096,13492.8059,236.8963,1365.1466
2737,Rest Africa,Nigerian,African,44.7422,245.826,3.1071,7.3462
2738,Rest Africa,Nigerian,African,232.9172,2420.054,228.6736,68.6268
2739,Rest Africa,Nigerian,African,152.0797,1654.128,7.289,112.7678
2740,Rest Africa,Nigerian,African,184.8345,1854.289,63.5289,98.4052
2741,Rest Africa,Nigerian,African,66.0985,1595.5602,100.8029,104.4449
2742,Rest Africa,Nigerian,African,337.4397,2115.66,36.528,72.4136
2743,Rest Africa,Nigerian,African,156.1995,1130.025,37.0861,40.4595
2744,Rest Africa,Nigerian,African,274.2556,1959.5162,82.9398,59.2364
2745,Rest Africa,Nigerian,African,43.6586,466.155,22.8986,24.8483
2746,Rest Africa,Nigerian,African,51.2152,5592,3.1548,611.856
2747,Rest Africa,Nigerian,African,908.9502,5041.929,60.5438,131.6097
2748,Rest Africa,Nigerian,African,124.1078,995.6568,35.4451,40.1018
2749,Rest Africa,Nigerian,African,1.776,175.2,1.302,18.546
2750,Rest Africa,Nigerian,African,272.235,1619.532,39.75,43.8827
2751,Rest Africa,Nigerian,African,369.6585,2352.034,68.8746,68.3996
2752,Rest Africa,Nigerian,African,104.9625,2168.3822,151.9307,127.639
2753,Rest Africa,Nigerian,African,75.898,593.977,16.2261,26.574
2754,Rest Africa,Nigerian,African,81.8275,1196.1928,121.6622,42.552
2755,Rest Africa,Nigerian,African,289.2423,2105.735,72.6013,76.9968
2756,Rest Africa,Nigerian,African,43.0894,187.154,3.7636,8.1925
2757,Rest Africa,Nigerian,African,47.462,852.0018,33.1885,61.5706
2758,Rest Africa,Nigerian,African,24.8091,4738.4304,180.5153,445.2337
2759,Rest Africa,Nigerian,African,699.7954,3565.5597,123.7089,24.8934
2760,Rest Africa,Nigerian,African,91.0516,2133.4392,114.7773,150.146
2761,Rest Africa,Nigerian,African,39.4858,536.0047,40.6222,25.9787
2762,Rest Africa,Nigerian,African,345.1682,2167.7061,119.2058,45.2594
2763,Rest Africa,Nigerian,African,335.7528,4659.6971,238.6424,271.6884
2764,Rest Africa,Nigerian,African,162.288,950.7278,52.2863,31.4554
2765,Rest Africa,Nigerian,African,91.4345,989.9985,9.3335,70.0057
2766,Rest Africa,Nigerian,African,54.6788,316.035,15.4668,6.7093
2767,Rest Africa,Nigerian,African,1.9258,127.81,0.3008,13.525
2768,Rest Africa,Nigerian,African,140.8049,567.33,1.7308,0.4953
2769,Rest Africa,Nigerian,African,20.9355,2549.3582,118.0556,221.4436
2770,Rest Africa,Nigerian,African,85.556,1147.152,24.8823,81.7318
2771,Rest Africa,Nigerian,African,25.8591,713.767,2.9444,68.0909
2772,Rest Africa,Nigerian,African,588.1747,18609.2665,1885.185,929.6183
2773,Rest Africa,Nigerian,African,110.4082,1834.2316,219.9756,67.461
2774,Rest Africa,Nigerian,African,146.3439,1030.6311,22.2814,44.2194
2775,Rest Africa,Nigerian,African,169.437,1891.8539,111.8385,83.414
2776,Rest Africa,Nigerian,African,77.4051,3185.5328,146.1469,267.0834
2777,Rest Africa,Nigerian,African,64.9316,1528.72,4.6584,145.1944
2778,Rest Africa,Nigerian,African,4.1426,137.7792,0.7721,13.5661
2779,Rest Africa,Nigerian,African,39.7659,3516.3537,20.5536,366.3112
2780,Rest Africa,Nigerian,African,39.9699,323.0983,23.514,10.49
2781,Rest Africa,Nigerian,African,7.3831,276.6695,1.69,28.0171
2782,Rest Africa,Nigerian,African,393.2222,8355.44,42.3512,747.007
2783,Rest Africa,Nigerian,African,75.33,1390.18,37.119,114.6071
2784,Rest Africa,Nigerian,African,228.0997,1763.382,62.284,68.6637
2785,Rest Africa,Nigerian,African,37.5748,817.771,32.4399,62.5866
2786,Rest Africa,Nigerian,African,288.1647,3214.7891,178.6866,161.2651
2787,Rest Africa,Nigerian,African,575.8135,2669.1443,52.0228,20.1379
2788,Rest Africa,Nigerian,African,101.0235,501.292,4.15,14.4998
2789,Rest Africa,Nigerian,African,7.7823,564.7312,105.8245,12.3046
2790,Rest Africa,Nigerian,African,70.7943,1264.7118,25.527,102.1028
2791,Rest Africa,Nigerian,African,45.0295,465.13,11.6624,29.0619
2792,Rest Africa,Nigerian,African,568.8291,7449.7132,286.7261,448.1277
2793,Rest Africa,Nigerian,African,598.2534,3496.7253,136.9014,64.307
2794,Rest Africa,Nigerian,African,11.3031,62.16,3.0938,2.5571
2795,Rest Africa,Nigerian,African,52.5707,748.6233,95.7165,16.795
2796,Rest Africa,Nigerian,African,57.5093,1715.9035,85.7818,128.2994
2797,Rest Africa,Nigerian,African,227.9148,1829.8878,201.6503,10.2991
2798,Rest Africa,Nigerian,African,14.4586,1757.7023,61.7894,162.3835
2799,Rest Africa,Nigerian,African,342.6058,1770.6195,77.5879,26.3916
2800,Rest Africa,Nigerian,African,79.7817,824.49,15.8319,56.1716
2801,Rest Africa,Nigerian,African,403.3155,9598.0421,6.3464,903.9804
2802,Rest Africa,Nigerian,African,140.1566,2375.7769,194.5148,119.6392
2803,Rest Africa,Nigerian,African,143.8415,8546.2515,188.5029,805.7547
2804,Rest Africa,Nigerian,African,8.1899,1371.604,78.4682,112.2788
2805,Rest Africa,Nigerian,African,2.2732,731.433,90.2539,37.8506
2806,Rest Africa,Nigerian,African,18.0785,1201.408,37.9946,111.3379
2807,Rest Africa,Nigerian,African,65.6971,1237.804,6.9007,109.6845
2808,Rest Africa,Nigerian,African,28.3757,149.2735,6.8974,6.1018
2809,Rest Africa,Nigerian,African,139.5672,8486.1826,226.6229,800.9379
2810,Rest Africa,Nigerian,African,297.6293,1874.4,8.076,82.192
2811,Rest Africa,Nigerian,African,26.191,2155.6309,179.8887,144.1151
2812,Rest Africa,Nigerian,African,69.8335,940.2615,7.7053,74.029
2813,Rest Africa,Nigerian,African,119.9757,983.9415,17.1377,57.2952
2814,Rest Africa,Nigerian,African,18.5702,282.5545,8.7899,22.2396
2815,Rest Africa,Nigerian,African,,,,
2816,Rest Africa,Nigerian,African,414.5854,2106.22,5.7112,57.35
2817,Rest Africa,Nigerian,African,24.0575,14018.9763,1287.1769,933.8544
2818,Rest Africa,Nigerian,African,79.161,1629.373,233.1098,42.4335
2819,Rest Africa,Nigerian,African,0,605.54,0,68.5
2820,Rest Africa,Nigerian,African,32.9638,1150.9774,185.8926,28.0992
2821,Rest Africa,Nigerian,African,16.1087,397.58,29.5102,23.6541
2822,Rest Africa,Nigerian,African,73.9746,553.1381,43.6349,20.2219
2823,Rest Africa,Nigerian,African,16.8656,554.438,2.0817,54.7035
2824,Rest Africa,Nigerian,African,186.635,2392.15,122.976,127.6608
2825,Rest Africa,Nigerian,African,38.0463,195.552,9.6682,7.9259
2826,Rest Africa,Nigerian,African,113.9105,4044.3734,485.3923,182.8144
2827,Rest Africa,Nigerian,African,273.9031,29652.8747,647.2761,2900.9623
2828,Rest Africa,Nigerian,African,53.519,228.2366,10.4756,1.3164
2829,Rest Africa,Nigerian,African,271.854,1397.04,42.6759,15.3345
2830,Rest Africa,Nigerian,African,24.6402,629.9441,93.2441,16.4129
2831,Rest Africa,Nigerian,African,1773.0965,8745.2854,225.7857,128.5724
2832,Rest Africa,Nigerian,African,0,0,0,0
2833,Rest Africa,Nigerian,African,65.8094,1302.0885,114.5715,68.8323
2834,Rest Africa,Nigerian,African,84.9405,1466.7626,107.9845,85.8159
2835,Rest Africa,Nigerian,African,763.4783,6960.01,252.7705,342.573
2836,Rest Africa,Nigerian,African,13.6917,410.688,1.4411,41.1456
2837,Middle Eastern,Rest Middle Eastern,Asian,56.6905,615.2089,13.4766,43.0058
2838,Middle Eastern,Rest Middle Eastern,Asian,175.1043,4413.838,114.6779,365.3721
2839,Middle Eastern,Rest Middle Eastern,Asian,39.0559,1161.658,44.2104,94.8115
2840,Middle Eastern,Rest Middle Eastern,Asian,842.9897,3285.9518,6.2506,2.0729
2841,Middle Eastern,Rest Middle Eastern,Asian,61.8826,275.3751,13.8853,2.2944
2842,Middle Eastern,Rest Middle Eastern,Asian,32.7237,149.6759,5.7594,1.1995
2843,Middle Eastern,Rest Middle Eastern,Asian,55.0694,1545.5275,47.4653,129.8207
2844,Middle Eastern,Rest Middle Eastern,Asian,14.944,2229.8,1.76,245.16
2845,Middle Eastern,Rest Middle Eastern,Asian,88.9846,827.2944,12.8084,51.2087
2846,Middle Eastern,Rest Middle Eastern,Asian,176.3408,1380.469,78.599,45.465
2847,Middle Eastern,Rest Middle Eastern,Asian,304.9222,2168.358,29.0136,95.1202
2848,Middle Eastern,Rest Middle Eastern,Asian,15.8203,689.4506,14.6814,65.1412
2849,Middle Eastern,Rest Middle Eastern,Asian,12.0841,497.0402,8.1508,48.6592
2850,Middle Eastern,Rest Middle Eastern,Asian,489.8048,4198.0712,241.4449,151.6853
2851,Middle Eastern,Rest Middle Eastern,Asian,96.5991,391.859,6.2415,2.0638
2852,Middle Eastern,Rest Middle Eastern,Asian,937.0686,3837.55,45.3586,3.4145
2853,Middle Eastern,Rest Middle Eastern,Asian,606.1185,3094.3591,56.3758,59.6604
2854,Middle Eastern,Rest Middle Eastern,Asian,102.2267,870.6548,27.4176,48.1503
2855,Middle Eastern,Rest Middle Eastern,Asian,43.3777,1200.0078,70.6569,83.9422
2856,Middle Eastern,Rest Middle Eastern,Asian,94.3062,1640.501,21.9389,136.8071
2857,Middle Eastern,Rest Middle Eastern,Asian,38.7532,168.7691,5.4947,0.7729
2858,Middle Eastern,Rest Middle Eastern,Asian,289.0875,1745.993,75.1495,39.7502
2859,Middle Eastern,Rest Middle Eastern,Asian,231.8731,1460.2089,21.4487,57.6473
2860,Middle Eastern,Rest Middle Eastern,Asian,24.578,2207.9218,401.8124,45.0367
2861,Middle Eastern,Rest Middle Eastern,Asian,127.7329,1213.57,37.9913,73.1797
2862,Middle Eastern,Rest Middle Eastern,Asian,132.6551,12093.6351,256.3306,1185.7211
2863,Middle Eastern,Rest Middle Eastern,Asian,17.5829,2311.395,179.6996,164.8369
2864,Middle Eastern,Rest Middle Eastern,Asian,50.7693,452.4987,4.9471,29.3817
2865,Middle Eastern,Rest Middle Eastern,Asian,32.8586,3246.7258,604.7112,62.2093
2866,Middle Eastern,Rest Middle Eastern,Asian,506.1981,3909.355,195.1537,118.2434
2867,Middle Eastern,Rest Middle Eastern,Asian,10.8437,1974.1926,2.9494,218.1614
2868,Middle Eastern,Rest Middle Eastern,Asian,106.2365,1770.3654,87.3561,113.6799
2869,Middle Eastern,Rest Middle Eastern,Asian,209.8258,2057.322,215.5292,44.8622
2870,Middle Eastern,Rest Middle Eastern,Asian,37.8691,2682.1546,429.742,80.3049
2871,Middle Eastern,Rest Middle Eastern,Asian,69.4616,2422.4088,145.7013,173.5651
2872,Middle Eastern,Rest Middle Eastern,Asian,173.7082,2660.6459,200.4134,133.9812
2873,Middle Eastern,Rest Middle Eastern,Asian,101.6992,1248.0251,38.8956,82.3458
2874,Middle Eastern,Rest Middle Eastern,Asian,437.6914,2678.144,59.2685,86.2653
2875,Middle Eastern,Rest Middle Eastern,Asian,151.2001,1779.86,15.5939,125.0003
2876,Middle Eastern,Rest Middle Eastern,Asian,39.6562,806.9607,33.5743,62.0579
2877,Middle Eastern,Rest Middle Eastern,Asian,155.7722,3653.438,8.7127,340.924
2878,Middle Eastern,Rest Middle Eastern,Asian,37.4598,230.3389,10.425,5.8062
2879,Middle Eastern,Rest Middle Eastern,Asian,13.7589,128.7184,6.9951,5.6819
2880,Middle Eastern,Rest Middle Eastern,Asian,93.5062,1636.0072,21.7475,136.5357
2881,Middle Eastern,Rest Middle Eastern,Asian,363.5523,4494.853,100.385,314.2095
2882,Middle Eastern,Rest Middle Eastern,Asian,190.1149,1794.4337,76.0147,89.7906
2883,Middle Eastern,Rest Middle Eastern,Asian,0,0,0,0
2884,Middle Eastern,Rest Middle Eastern,Asian,10.585,762.8066,105.8619,30.696
2885,Middle Eastern,Rest Middle Eastern,Asian,26.9919,1359.95,211.1168,39.8157
2886,Chinese and Mongolian,Chinese,Asian,39.6487,1885.5851,201.5459,98.4323
2887,Chinese and Mongolian,Chinese,Asian,46.9278,6393.2694,144.4498,625.9935
2888,Chinese and Mongolian,Chinese,Asian,132.4668,4176.547,79.3766,369.5232
2889,Chinese and Mongolian,Chinese,Asian,13.7397,1064.46,1.1329,111.9502
2890,Chinese and Mongolian,Chinese,Asian,77.0288,6326.6056,54.1959,654.7875
2891,Chinese and Mongolian,Chinese,Asian,43.2831,1098.4359,102.4256,59.7232
2892,Chinese and Mongolian,Chinese,Asian,316.9984,2349.5591,85.1343,78.7409
2893,Chinese and Mongolian,Chinese,Asian,305.8884,1521.162,29.7746,16.3438
2894,Chinese and Mongolian,Chinese,Asian,33.4643,1160.6255,90.2296,72.6435
2895,Chinese and Mongolian,Chinese,Asian,12.6863,401.084,9.1378,35.9796
2896,Chinese and Mongolian,Chinese,Asian,372.5698,5890.058,109.6318,442.5668
2897,Chinese and Mongolian,Chinese,Asian,24.9922,2292.5421,365.3462,70.1299
2898,Chinese and Mongolian,Chinese,Asian,14.3807,866.592,0.8843,90.4243
2899,Chinese and Mongolian,Chinese,Asian,318.0959,1711.465,39.9363,28.4144
2900,Chinese and Mongolian,Chinese,Asian,119.2697,2969.451,64.3295,249.0684
2901,Chinese and Mongolian,Chinese,Asian,27.9684,1260.5083,121.4799,73.2112
2902,Chinese and Mongolian,Chinese,Asian,12.3813,225.0295,10.97,15.2928
2903,Chinese and Mongolian,Chinese,Asian,16.2805,623.6479,40.2978,45.4667
2904,Chinese and Mongolian,Chinese,Asian,170.2176,2373.2361,110.5326,138.818
2905,Chinese and Mongolian,Chinese,Asian,54.974,1805.5669,186.4901,94.3325
2906,Chinese and Mongolian,Chinese,Asian,365.9297,2879.6388,47.0589,132.0137
2907,Chinese and Mongolian,Chinese,Asian,53.9542,445.215,2.2973,27.5125
2908,Chinese and Mongolian,Chinese,Asian,143.265,1262.5716,111.1846,30.9525
2909,Chinese and Mongolian,Chinese,Asian,488.2362,2241.1038,39.5754,8.0139
2910,Chinese and Mongolian,Chinese,Asian,61.0276,1185.063,75.2466,73.3614
2911,Chinese and Mongolian,Chinese,Asian,18.5363,467.744,18.2287,37.3734
2912,Chinese and Mongolian,Chinese,Asian,115.4565,2798.008,68.3771,229.5336
2913,Chinese and Mongolian,Chinese,Asian,145.5499,2646.4547,196.4227,141.716
2914,Chinese and Mongolian,Chinese,Asian,111.6363,5106.6172,221.1328,423.467
2915,Chinese and Mongolian,Chinese,Asian,49.5426,1171.2245,115.6433,58.9174
2916,Chinese and Mongolian,Chinese,Asian,44.8681,1038.6477,40.7746,84.7396
2917,Chinese and Mongolian,Chinese,Asian,17.5209,604.9176,92.7997,16.6621
2918,Chinese and Mongolian,Chinese,Asian,27.612,218.784,5.8129,9.8086
2919,Chinese and Mongolian,Chinese,Asian,8.5571,1280.3277,150.0676,67.9521
2920,Chinese and Mongolian,Chinese,Asian,75.7878,1757.4586,145.3422,105.1839
2921,Chinese and Mongolian,Chinese,Asian,101.3595,3190.3782,308.9084,165.3598
2922,Chinese and Mongolian,Chinese,Asian,6.2993,207.1275,5.6909,18.4429
2923,Chinese and Mongolian,Chinese,Asian,34.3335,807.042,5.622,76.3615
2924,Chinese and Mongolian,Chinese,Asian,53.2439,4288.468,72.7971,423.8223
2925,Chinese and Mongolian,Chinese,Asian,17.8047,316.4998,28.0001,15.4106
2926,Chinese and Mongolian,Chinese,Asian,190.9556,14750.63,251.5715,1459.5571
2927,Chinese and Mongolian,Chinese,Asian,45.0797,1102.9947,18.3318,101.8507
2928,Chinese and Mongolian,Chinese,Asian,30.0383,161.5715,6.1197,2.7799
2929,Chinese and Mongolian,Chinese,Asian,32.3356,271.6023,10.4517,14.3214
2930,Chinese and Mongolian,Chinese,Asian,419.5234,2275.1595,38.0287,44.5628
2931,Chinese and Mongolian,Chinese,Asian,33.4536,263.358,3.7858,13.9277
2932,Chinese and Mongolian,Chinese,Asian,1.3388,448.6113,45.1385,28.4417
2933,Chinese and Mongolian,Chinese,Asian,14.7522,6396.045,573.9108,432.8094
2934,Chinese and Mongolian,Chinese,Asian,7.657,1518.2958,94.703,121.9432
2935,Chinese and Mongolian,Chinese,Asian,922.2834,5925.5564,295.7392,98.3638
2936,Chinese and Mongolian,Chinese,Asian,23.6292,754.443,69.8336,42.8
2937,Chinese and Mongolian,Chinese,Asian,29.724,287.394,8.4297,17.1551
2938,Chinese and Mongolian,Chinese,Asian,261.5399,1347.4721,7.8949,32.351
2939,Chinese and Mongolian,Chinese,Asian,20.3179,487.971,3.4946,46.8823
2940,Chinese and Mongolian,Chinese,Asian,60.5637,2015.744,42.9325,191.41
2941,Chinese and Mongolian,Chinese,Asian,525.304,5404.5912,386.7229,182.4742
2942,Chinese and Mongolian,Chinese,Asian,26.0835,661.0617,69.9885,29.7063
2943,Chinese and Mongolian,Chinese,Asian,72.318,1717.6063,310.66,11.2371
2944,Chinese and Mongolian,Chinese,Asian,132.8592,1043.07,59.4958,32.5994
2945,Chinese and Mongolian,Chinese,Asian,20.0393,740.5407,93.4062,30.2924
2946,Chinese and Mongolian,Chinese,Asian,27.1173,405.076,27.5063,19.2307
2947,Chinese and Mongolian,Chinese,Asian,23.6515,1633.806,78.5277,134.2752
2948,Chinese and Mongolian,Chinese,Asian,9.1403,252.055,29.5885,10.3548
2949,Chinese and Mongolian,Chinese,Asian,11.9163,220.65,15.3935,11.7547
2950,Chinese and Mongolian,Chinese,Asian,18.3962,442.705,54.7631,15.5282
2951,Chinese and Mongolian,Chinese,Asian,25.7229,456.4055,51.0286,15.3052
2952,Chinese and Mongolian,Chinese,Asian,43.4532,889.89,74.9881,47.7266
2953,Chinese and Mongolian,Chinese,Asian,17.3166,333.5404,43.784,9.7971
2954,Chinese and Mongolian,Chinese,Asian,68.9575,1358.1285,64.9588,92.8248
2955,Chinese and Mongolian,Chinese,Asian,108.7826,673.9169,27.5998,13.4174
